Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Kyle Alleva,2,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,2,1,3,0,0.75
Charlie Jones,19,Bay Area Bashers,California 2,Tier 2,7,2,1,3,0,0.43
Mike O'Neil,55,Boston Rattlers,Boston 3,Tier 3,5,2,1,3,0,0.6
Ricky Neurohr,88,Butler Bantams,Pittsburgh 2,Tier 2,5,2,1,3,0,0.6
Kyle Ballschinder,12,Jersey Dinos,Philadelphia 3,Tier 3,5,2,1,3,1.5,0.6
Vinny Lawson,20,Jersey Dinos,Philadelphia 3,Tier 3,5,2,1,3,3,0.6
Jax Miller,5,Marlton Dawgz,New Jersey,Tier 1,4,2,1,3,1.5,0.75
Marky Bergamasco,88,Penn Hills Imperium,Pittsburgh,Tier 1,5,2,1,3,1.5,0.6
Tim Corrigan,88,Raleigh Squall,Carolina 3,Tier 3,6,2,1,3,1.5,0.5
Austin Haddock,96,Red River Rougarou,Texas 3,Tier 3,6,2,1,3,0,0.5
Denny Schlegel,28,Buffalo 716ers,Buffalo,Tier 1,5,1,2,3,0,0.6
Jimmy Booth,12,Maple Shade Chiefs,South Jersey 2,Tier 2,5,1,2,3,0,0.6
Michael Andes,8,Marlton Dawgz,New Jersey,Tier 1,4,1,2,3,3,0.75
Tyler Schram,64,Niagara Daredevils,Buffalo,Tier 1,4,1,2,3,0,0.75
Blake Fiandaca,88,Orlando Mutiny,Florida 2,Tier 2,6,1,2,3,0,0.5
Nick Kilcourse,21,Orlando Mutiny,Florida 2,Tier 2,6,1,2,3,0,0.5
Brian Prendergast,77,Phoenixville Purge,Philadelphia 2,Tier 2,5,1,2,3,0,0.6
Eric Fortin,9,Bay Area Bashers,California 2,Tier 2,7,0,3,3,0,0.43
Nick Doherty,93,Boston Rattlers,Boston 3,Tier 3,5,0,3,3,0,0.6
Chris Haynes,8,Buffalo 716ers,Buffalo,Tier 1,5,0,3,3,0,0.6
Stephen Schombs,53,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,3,3,0,0.5
Alyssa L'Ecuyer,17,Mass Vengeance,Massachusetts 2,Tier 2,5,0,3,3,0,0.6
Zach Lampell,81,Arlington Plague,Washington DC,Tier 2,2,2,0,2,4.5,1
Jon Quick,34,Bay Area Bashers,California 2,Tier 2,7,2,0,2,0,0.29
James Germain,17,Bay Area Burger Boys,California 3,Tier 3,4,2,0,2,0,0.5
Ben Gagnon,92,Boston Rattlers,Boston 3,Tier 3,5,2,0,2,0,0.4
Tommy Smith,16,Boston Rattlers,Boston 3,Tier 3,5,2,0,2,3,0.4
Cody Smith,10,Buffalo 716ers,Buffalo,Tier 1,5,2,0,2,3,0.4
Brandon Hess,10,Columbus Counts,Indiana 3,Tier 3,5,2,0,2,0,0.4
Ethan Parsons,20,Grim City Reapers,Buffalo 2,Tier 2,4,2,0,2,0,0.5
