Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Mark Richardson,55,Mill City Warriors,Massachusetts 2,Tier 2,4,0,1,1,3,0.25
Justin Harvey,34,Niagara Daredevils,Buffalo,Tier 1,4,0,1,1,0,0.25
Jaeden Colbourne,81,Niagara Daredevils,Buffalo,Tier 1,4,0,1,1,0,0.25
Michael Formica,9,Niagara Daredevils,Buffalo,Tier 1,4,0,1,1,0,0.25
Jason Daley,7,Northside Militia,Pittsburgh 2,Tier 2,5,0,1,1,0,0.2
Matt Williams,6,Oakridge Owls,Massachusetts,Tier 1,3,0,1,1,1.5,0.33
Nevin Lawler,17,Oakridge Owls,Massachusetts,Tier 1,3,0,1,1,0,0.33
Shane O'Donnell,13,Orlando Mutiny,Florida 2,Tier 2,6,0,1,1,0,0.17
Leo Wristen,33,Orlando Mutiny,Florida 2,Tier 2,6,0,1,1,0,0.17
Mike Giraldi,8,Orlando Mutiny,Florida 2,Tier 2,6,0,1,1,1.5,0.17
John Tosado,45,Orlando Mutiny,Florida 2,Tier 2,6,0,1,1,0,0.17
Larry Boone,15,Phoenixville Purge,Philadelphia 2,Tier 2,5,0,1,1,0,0.2
Chad Price,30,Phoenixville Purge,Philadelphia 2,Tier 2,5,0,1,1,1.5,0.2
Jason Feairheller,92,Phoenixville Purge,Philadelphia 2,Tier 2,5,0,1,1,0,0.2
Drew Herbert,3,Red River Rougarou,Texas 3,Tier 3,6,0,1,1,0,0.17
Brett Lee,41,Red River Rougarou,Texas 3,Tier 3,6,0,1,1,0,0.17
Kevin Lee,7,Savage Ogopogos,Maryland 3,Tier 3,5,0,1,1,0,0.2
Colleen Murphy,10,Savage Ogopogos,Maryland 3,Tier 3,5,0,1,1,0,0.2
James Gannon,5,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,4,0,1,1,0,0.25
Tom Lepage,7,South Coast Chargers,New England 2,Tier 2,4,0,1,1,0,0.25
Joey Frank,87,South Coast Chargers,New England 2,Tier 2,4,0,1,1,0,0.25
Hunter Hardy,43,Steel City Show Stoppers,Pittsburgh,Tier 1,3,0,1,1,1.5,0.33
Taras Chernetskiy,70,Steel City Show Stoppers,Pittsburgh,Tier 1,1,0,1,1,0,1
Edward Walsh,29,Steel City Show Stoppers,Pittsburgh,Tier 1,3,0,1,1,0,0.33
Mike Tassos,4,Steel City Show Stoppers,Pittsburgh,Tier 1,3,0,1,1,1.5,0.33
Brandon Newell,22,A-Town Tropics,Massachusetts 2,Tier 2,3,0,0,0,0,0
Avery Clyatt,77,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Aiden Kirwan,9,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Kameron Elliotte,43,A-Town Tropics,Massachusetts 2,Tier 2,3,0,0,0,0,0
Kyle Killay,73,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,1.5,0
Alex Sherman,87,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Nick Ellison,13,A-Town Tropics,Massachusetts 2,Tier 2,3,0,0,0,0,0
Evan Dubrule,1,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Tyler Goodwin,8,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Jack Lanni,0,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Cody Bridgwood,11,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Jordan Carrasquillo,66,A-Town Tropics,Massachusetts 2,Tier 2,4,0,0,0,0,0
Sean Joyce,20,Arlington Plague,Washington DC,Tier 2,3,0,0,0,0,0
Gary Morris,24,Arlington Plague,Washington DC,Tier 2,2,0,0,0,0,0
Scott MacQuarrie,,Arlington Plague,Washington DC,Tier 2,2,0,0,0,0,0
JP Uehlinger,19,Arlington Plague,Washington DC,Tier 2,2,0,0,0,0,0
Antonio Nevano,10,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Melissa Clark,5,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Sean Bodkin,17,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Paul Steinitz,9,Arlington Plague,Washington DC,Tier 2,2,0,0,0,0,0
Greg Nevano,4,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Chris Mylan,18,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Shaun Fasbinder,44,Arlington Plague,Washington DC,Tier 2,2,0,0,0,0,0
Terry O'Neill,22,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Jordan Loftis,2,Arlington Plague,Washington DC,Tier 2,4,0,0,0,0,0
Dominic Newman,39,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Jason Mcgowan,77,Atlantic City Chimney Fish,South Jersey 2,Tier 2,3,0,0,0,0,0
Austin Dixon,13,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Matt Stanks,79,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Joe Hughes,92,Atlantic City Chimney Fish,South Jersey 2,Tier 2,3,0,0,0,0,0
Jonah Carmany,9,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Stephen Stefan,9,Atlantic City Chimney Fish,South Jersey 2,Tier 2,3,0,0,0,0,0
Matt Grey,72,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Jake Zingkraft,7,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Jason Swisher,8,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Woody Faunce,33,Atlantic City Chimney Fish,South Jersey 2,Tier 2,3,0,0,0,0,0
Nick Brown,66,Atlantic City Chimney Fish,South Jersey 2,Tier 2,4,0,0,0,0,0
Jason Nawrocki,33,Bay Area Bashers,California 2,Tier 2,7,0,0,0,0,0
Zach Sorcher,27,Bay Area Bashers,California 2,Tier 2,7,0,0,0,1.5,0
Jarrod Hatfield,30,Bay Area Bashers,California 2,Tier 2,7,0,0,0,1.5,0
Brian Bennetti,23,Bay Area Bashers,California 2,Tier 2,7,0,0,0,0,0
Garrett Lord,31,Bay Area Bashers,California 2,Tier 2,5,0,0,0,0,0
Nic Peterson,55,Bay Area Bashers,California 2,Tier 2,6,0,0,0,0,0
Matt Zilinskas,51,Bay Area Bashers,California 2,Tier 2,7,0,0,0,0,0
Nick Koelzer,19,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Adam Goldstein,23,Bay Area Burger Boys,California 3,Tier 3,3,0,0,0,0,0
Ishan Tikku,6,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Chris Casilli,35,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Josh Klag,7,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,1.5,0
Jonathan Casilli,13,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Justin Ker,88,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Greg Dunmore,41,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Adam Goldstein,23,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Billy Knupp,16,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Kevin Aylesworth,12,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Jack Liacos,74,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Chris Lambert,31,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
David Pennise,11,Bay Area Burger Boys,California 3,Tier 3,4,0,0,0,0,0
Eric Zimmerman,77,Bellmawr Hawks,New Jersey,Tier 1,2,0,0,0,0,0
Pat Weatherby,10,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,1.5,0
Cole Geatens,6,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,0,0
Rob Basile,25,Bellmawr Hawks,New Jersey,Tier 1,4,0,0,0,0,0
Jon Casper,19,Bellmawr Hawks,New Jersey,Tier 1,4,0,0,0,1.5,0
Matt Marotta,35,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,0,0
Mark Lesher,81,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,1.5,0
Jon Oswald,2,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,0,0
Nick Campo,24,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,0,0
Bryan Grant,12,Bellmawr Hawks,New Jersey,Tier 1,5,0,0,0,0,0
Matt Blute,88,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,1.5,0
Dave Costa,50,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Rich Pelletier,20,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Allen Fernandez,19,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Steven Iacoviello,84,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,1.5,0
Jose Silva,91,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Sean Roach,29,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Elder Lopez,7,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Shawn Miville,27,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Steve Taddonio,33,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Kerry Bickford,1,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Rob Greene,3,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,0,0
Bobby Burgoyne,5,Boston Rattlers,Boston 3,Tier 3,5,0,0,0,1.5,0
Andrew Pruitt,6,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Robert Lee,4,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Alex Lee,5,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,1.5,0
Harry Wahl,77,Buffalo 716ers,Buffalo,Tier 1,0,0,0,0,0,0
Frank Keitz,44,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Jared Pinter,92,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Joe Copella,97,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Brian Penders,3,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Don Reukauf,81,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Joe Sperazza,15,Buffalo 716ers,Buffalo,Tier 1,5,0,0,0,0,0
Tyler Morris,39,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,0,0,0,0
Alex Bernas,81,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Nick Pietrzak,8,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Marcus Lagerstrom,1,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Matt Englert,39,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Carl Stenchenfinger,21,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,0,0,0,0
Jose Cruz-Jackson,92,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Jimmy Sauer,10,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,0,0,0,0
Don Knavel,28,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Nate Luciano,97,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,0,0,0,0
Tom Ristich,29,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,0,0,0,0
James Rogowsky,77,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,0,0,0,0
Alex Hummell - IR,4,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Ryan McGinnis,88,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Alex Vacco,22,Buffalo Wear-It,Buffalo 2,Tier 2,2,0,0,0,0,0
Hannah Lindey,22,Butler Bantams,Pittsburgh 2,Tier 2,4,0,0,0,0,0
Taite Dushek,3,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Luke Campbell,85,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Mavrik Goepfert,93,Butler Bantams,Pittsburgh 2,Tier 2,2,0,0,0,0,0
Dillon Hepler,7,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Bekk McClaine,16,Butler Bantams,Pittsburgh 2,Tier 2,4,0,0,0,0,0
Christian Walleck,29,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Jim Cendrowski,51,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Mike Mikula,41,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Jacob Snyder,21,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Zack Henshaw,98,Butler Bantams,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Jake Harter,21,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Fazeel Khan,29,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Roger Pfister,7,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Chad Kimbleton,27,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,3,0
Chris Mitchell,5,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Patrick McCall,81,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,3,0
Reece Harter,8,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Tyler Pfister,63,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
James McQuade,17,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Kyle McKee,92,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Alex Herron,18,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Patrick McCall,81,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Russ Ramser,77,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Alex Dale,88,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Sean Flanders,23,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,0,0
Andy Pollick,13,Columbus Counts,Indiana 3,Tier 3,5,0,0,0,1.5,0
Tim Willard,3,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
Bill Dougherty,77,Delco Devils,Philadelphia 3,Tier 3,2,0,0,0,0,0
Jarod Freese,2,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
Joe Patterson,90,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
James Barbier,34,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,1.5,0
Logan Kelly,4,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
Ryan Kelly,5,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
Bob Ferraro,44,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
Mark Shaw,31,Delco Devils,Philadelphia 3,Tier 3,2,0,0,0,0,0
Ken Keene sr,19,Delco Devils,Philadelphia 3,Tier 3,2,0,0,0,0,0
Anthony Graser,55,Delco Devils,Philadelphia 3,Tier 3,4,0,0,0,0,0
Dietrich Jacobs,23,Grim City Reapers,Buffalo 2,Tier 2,3,0,0,0,0,0
Bubba Burket,78,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Garret Kulczyk,3,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,3,0
Frank Palladino,19,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Kyle McNamara,2,Grim City Reapers,Buffalo 2,Tier 2,3,0,0,0,0,0
Ryan Lauer,90,Grim City Reapers,Buffalo 2,Tier 2,3,0,0,0,1.5,0
Curtis Voak,74,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Richard Leon,39,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Randy Folaron,12,Grim City Reapers,Buffalo 2,Tier 2,3,0,0,0,0,0
Angel Rivera,94,Grim City Reapers,Buffalo 2,Tier 2,3,0,0,0,0,0
Garrett kulczyk,13,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Mike Neenan,81,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Brian Forpahl,40,Grim City Reapers,Buffalo 2,Tier 2,4,0,0,0,0,0
Kurt Jacobs,31,Grim City Reapers,Buffalo 2,Tier 2,3,0,0,0,0,0
Ryan Schwager,93,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Steven Bancroft,84,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Nick Pollak,3,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Michael Aneser,43,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Bryan Rock,88,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,1.5,0
Jeff Rigby,24,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,1.5,0
Robert Siracusa,44,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Gavin Mcginty,28,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Mike Rock,11,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Tyler Galisewski,35,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,0,0
Will Siracusa,61,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,1.5,0
Michael Bancroft,17,Jersey Dinos,Philadelphia 3,Tier 3,5,0,0,0,1.5,0
Doug Croteau,14,Leominster Stars,Massachusetts,Tier 1,3,0,0,0,0,0
Charles Plaisir,71,Leominster Stars,Massachusetts,Tier 1,5,0,0,0,0,0
Josh McKenna,19,Leominster Stars,Massachusetts,Tier 1,3,0,0,0,0,0
Kyle Bokuniewicz,4,Leominster Stars,Massachusetts,Tier 1,5,0,0,0,0,0
JR Rousso,12,Leominster Stars,Massachusetts,Tier 1,4,0,0,0,0,0
Andrew Carter,1,Leominster Stars,Massachusetts,Tier 1,2,0,0,0,0,0
Matt Levesque,2,Leominster Stars,Massachusetts,Tier 1,0,0,0,0,0,0
Robert Housser,90,Leominster Stars,Massachusetts,Tier 1,1,0,0,0,0,0
Chandler Leger,7,Leominster Stars,Massachusetts,Tier 1,3,0,0,0,0,0
Sean Reilly,30,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,1.5,0
Mike Tardino,93,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Ryan Steinberg,77,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Eric Pellechi,55,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Jason Muro,18,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Dan Cleary,15,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Mike Walker,31,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Josh Weger,9,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Brian Giles,28,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,1.5,0
Billy Dickhut,85,Long Island Ball Hockey Team,North Jersey 2,Tier 2,6,0,0,0,0,0
Chris Forman,10,Long Island Sound,North Jersey 2,Tier 2,6,0,0,0,0,0
Jake Brzezinski,7,Long Island Sound,North Jersey 2,Tier 2,7,0,0,0,1.5,0
Justin Fassberger,11,Long Island Sound,North Jersey 2,Tier 2,7,0,0,0,0,0
Tyler Lupo,21,Long Island Sound,North Jersey 2,Tier 2,7,0,0,0,0,0
Jack Forrest,6,Long Island Sound,North Jersey 2,Tier 2,6,0,0,0,0,0
Aidan Felice,97,Long Island Sound,North Jersey 2,Tier 2,7,0,0,0,0,0
Jimmy Spina,35,Long Island Sound,North Jersey 2,Tier 2,7,0,0,0,0,0
Zach Simonetti,12,Long Island Sound,North Jersey 2,Tier 2,6,0,0,0,0,0
Dan Kwasny,,Long Island Sound,North Jersey 2,Tier 2,5,0,0,0,0,0
(Sponsor) Murray,32,Maple Shade Chiefs,South Jersey 2,Tier 2,3,0,0,0,0,0
MJ Quillen,21,Maple Shade Chiefs,South Jersey 2,Tier 2,5,0,0,0,3,0
Dan Cohen,35,Maple Shade Chiefs,South Jersey 2,Tier 2,5,0,0,0,0,0
Ryan Mannello,44,Maple Shade Chiefs,South Jersey 2,Tier 2,3,0,0,0,0,0
Alec Nicolai,2,Maple Shade Chiefs,South Jersey 2,Tier 2,3,0,0,0,0,0
Steven Cader,8,Maple Shade Chiefs,South Jersey 2,Tier 2,4,0,0,0,0,0
Jake Kelley,12,Marlton Dawgz,New Jersey,Tier 1,1,0,0,0,0,0
Jake Powell,25,Marlton Dawgz,New Jersey,Tier 1,1,0,0,0,0,0
Matt Stickney,6,Marlton Dawgz,New Jersey,Tier 1,1,0,0,0,0,0
Shane Kelley,3,Marlton Dawgz,New Jersey,Tier 1,2,0,0,0,0,0
Luke Villano,88,Marlton Dawgz,New Jersey,Tier 1,2,0,0,0,0,0
Andrew Mucerino,22,Marlton Dawgz,New Jersey,Tier 1,1,0,0,0,0,0
Ant Gambone,0,Marlton Dawgz,New Jersey,Tier 1,1,0,0,0,0,0
Rob Agnoni,44,Marlton Dawgz,New Jersey,Tier 1,2,0,0,0,0,0
Tim Papagno,30,Marlton Dawgz,New Jersey,Tier 1,4,0,0,0,0,0
Steve Zimmerman,21,Marlton Dawgz,New Jersey,Tier 1,1,0,0,0,0,0
Aaron Huffnagle,81,Marlton Dawgz,New Jersey,Tier 1,2,0,0,0,0,0
Lucas Rego,3,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Levi Marden,8,Mass Vengeance,Massachusetts 2,Tier 2,4,0,0,0,0,0
Mike Cleary,97,Mass Vengeance,Massachusetts 2,Tier 2,5,0,0,0,0,0
Patrick Spencer,80,Mass Vengeance,Massachusetts 2,Tier 2,5,0,0,0,0,0
Alex Wilson,2,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Richie Clayter,69,Mass Vengeance,Massachusetts 2,Tier 2,5,0,0,0,0,0
James Forbes,16,Mass Vengeance,Massachusetts 2,Tier 2,5,0,0,0,0,0
John Cuddahy,16,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Carlos Bonanca,72,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Cam Heroux,4,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Matt Luis,24,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Eric Paris,42,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Kenny Layne,31,Mass Vengeance,Massachusetts 2,Tier 2,3,0,0,0,0,0
Levi Marden,8,Mass Vengeance,Massachusetts 2,Tier 2,5,0,0,0,1.5,0
Jordan Wilson,15,Mass Vengeance,Massachusetts 2,Tier 2,5,0,0,0,0,0
Shaymus Dunn,16,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Bobby Cloutier,8,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Jared Rego,17,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Brandon Le,25,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Keith Gagnon,10,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Tyler Cunio,84,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Cam Chagnon,13,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Joe Gagnon,24,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Austin Savard,93,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Bryan Janeczko,5,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
CJ Zaharoolis,12,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,1.5,0
Jeremy Holden,2,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Cody Grondin,28,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Myke Dill,72,Mill City Warriors,Massachusetts 2,Tier 2,4,0,0,0,0,0
Riley Ruzic,69,Niagara Daredevils,Buffalo,Tier 1,4,0,0,0,1.5,0
John Rorison,17,Niagara Daredevils,Buffalo,Tier 1,2,0,0,0,0,0
Dyson Vandelaar,91,Niagara Daredevils,Buffalo,Tier 1,1,0,0,0,0,0
Jake Tourbin,97,Niagara Daredevils,Buffalo,Tier 1,4,0,0,0,1.5,0
Jackson Roberts,70,Niagara Daredevils,Buffalo,Tier 1,4,0,0,0,1.5,0
Joel Thompson,27,Niagara Daredevils,Buffalo,Tier 1,2,0,0,0,0,0
Brian Szolga,98,Niagara Daredevils,Buffalo,Tier 1,4,0,0,0,0,0
Aaron Campisano,33,Niagara Daredevils,Buffalo,Tier 1,4,0,0,0,0,0
Ryan Nagy,3,Niagara Daredevils,Buffalo,Tier 1,4,0,0,0,0,0
Brian Nath,49,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Cal Betram,8,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Jacob O'Keefe,23,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Ben Smeresky,86,Northside Militia,Pittsburgh 2,Tier 2,4,0,0,0,0,0
Zack Thimons,39,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Dylan Eichhorn,44,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Tommy Mcdonough,91,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Pat Mccue,30,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Corey Grande,14,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Brandon Zeman,63,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Jake Polverini,29,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,0,0
John Hunter,5,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Jared Saffer,20,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Anthony Rizzitano,1,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,0,0
Hal Minford,92,Northside Militia,Pittsburgh 2,Tier 2,3,0,0,0,0,0
Kyle McCallum,94,Northside Militia,Pittsburgh 2,Tier 2,5,0,0,0,1.5,0
Tyler Crawford,33,Oakridge Owls,Massachusetts,Tier 1,3,0,0,0,0,0
Trevor Lawler,71,Oakridge Owls,Massachusetts,Tier 1,3,0,0,0,3,0
Zachary Buckland,22,Oakridge Owls,Massachusetts,Tier 1,3,0,0,0,0,0
Hunter Boudreau,21,Oakridge Owls,Massachusetts,Tier 1,3,0,0,0,1.5,0
Matt Caron,97,Oakridge Owls,Massachusetts,Tier 1,0,0,0,0,0,0
Ben Tolman,4,Oakridge Owls,Massachusetts,Tier 1,3,0,0,0,0,0
Brandon Snow,22,Oakridge Owls,Massachusetts,Tier 1,1,0,0,0,0,0
Shane O'Donnell,8,Oakridge Owls,Massachusetts,Tier 1,2,0,0,0,0,0
Colin McColl,88,Oakridge Owls,Massachusetts,Tier 1,3,0,0,0,3,0
Nick Carter,12,Oakridge Owls,Massachusetts,Tier 1,0,0,0,0,0,0
