Player,Jersey,Team,Division,Tier,GP,G,A,PTS,PIM,PPG
Eric Bell,10,Maple Shade Chiefs,South Jersey 2,Tier 2,9,12,10,22,3,2.44
Ben Smith,17,Maple Shade Chiefs,South Jersey 2,Tier 2,9,7,9,16,1.5,1.78
Marty Bell,68,Maple Shade Chiefs,South Jersey 2,Tier 2,9,8,5,13,3,1.44
John Healy,37,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,7,6,13,0,2.6
Denny Schlegel,28,Buffalo 716ers,Buffalo,Tier 1,5,8,4,12,0,2.4
Jax Miller,5,Marlton Dawgz,New Jersey,Tier 1,6,7,5,12,1.5,2
Danny Cunningham,24,Penn Hills Imperium,Pittsburgh,Tier 1,5,6,6,12,1.5,2.4
Logan Hume,33,A-Town Tropics,Massachusetts 2,Tier 2,6,5,7,12,0,2
Brendan Crousey,14,Penn Hills Imperium,Pittsburgh,Tier 1,5,6,5,11,0,2.2
Eddie Botelho,11,South Coast Chargers,New England 2,Tier 2,5,6,5,11,1.5,2.2
Taras Chernetskiy,70,Steel City Show Stoppers,Pittsburgh,Tier 1,5,6,5,11,1.5,2.2
Sean Joyce,20,Arlington Plague,Washington DC,Tier 2,6,7,3,10,0,1.67
Zach Smith,92,McKeesport Magic,Pittsburgh 2,Tier 2,4,5,5,10,0,2.5
Logan Kirwan,6,A-Town Tropics,Massachusetts 2,Tier 2,6,4,6,10,1.5,1.67
John Pacheco,52,South Coast Chargers,New England 2,Tier 2,5,8,1,9,1.5,1.8
Casey Cormier,23,Mill City Warriors,Massachusetts 2,Tier 2,8,7,2,9,0,1.13
Brendan Persichetti,43,Penn Hills Imperium,Pittsburgh,Tier 1,5,5,4,9,0,1.8
Jordan Albright,97,Steel City Show Stoppers,Pittsburgh,Tier 1,5,5,4,9,4.5,1.8
Nick King,14,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,4,5,9,7.5,1.13
AJ Goetz,14,Arlington Plague,Washington DC,Tier 2,5,3,6,9,1.5,1.8
Marky  Bergamasco,88,Penn Hills Imperium,Pittsburgh,Tier 1,5,0,9,9,6,1.8
Jon Ruiz,24,Marlton Dawgz,New Jersey,Tier 1,6,6,2,8,0,1.33
Adam Holt,9,Butler Bantams,Pittsburgh 2,Tier 2,6,5,3,8,4.5,1.33
John Petito,20,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,5,3,8,0,1.6
Jeremy Warhold,24,Northside Militia,Pittsburgh 2,Tier 2,6,5,3,8,6,1.33
Gannon Warrick,98,Northside Militia,Pittsburgh 2,Tier 2,6,5,3,8,1.5,1.33
Steve Scian,11,Marlton Dawgz,New Jersey,Tier 1,6,4,4,8,6,1.33
Owen Mills,91,Penn Hills Imperium,Pittsburgh,Tier 1,5,4,4,8,0,1.6
Mike Davis,37,Lakeland Caribou,New Jersey,Tier 1,5,3,5,8,4.5,1.6
Mike Tassos,4,McKeesport Magic,Pittsburgh 2,Tier 2,4,2,6,8,0,2
Mike Henry,1,South Jersey Nights Watch,New Jersey,Tier 1,6,2,6,8,0,1.33
Michael Felsing,19,Steel City Show Stoppers,Pittsburgh,Tier 1,5,2,6,8,1.5,1.6
Brandon Harley,97,Bellmawr Hawks,New Jersey,Tier 1,6,5,2,7,7.5,1.17
Mickey Santore,0,Philadelphia Berserkers,Philadelphia 3,Tier 3,2,5,2,7,0,3.5
Phil Laboda,61,Steel City Revenge,Pittsburgh 2,Tier 2,4,5,2,7,0,1.75
John Glascoe,11,Grim City Reapers,Buffalo 2,Tier 2,4,4,3,7,0,1.75
Ryan Silva,91,Mill City Warriors,Massachusetts 2,Tier 2,8,4,3,7,0,0.88
Christian  Maselli,86,South Coast Chargers,New England 2,Tier 2,5,4,3,7,1.5,1.4
Jacob Shourds,16,South Jersey Space Pirates,South Jersey 2,Tier 2,6,4,3,7,0,1.17
Alex Gallagher,23,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,3,4,7,0,0.88
Ricky Anesin,90,Steel City Show Stoppers,Pittsburgh,Tier 1,5,3,4,7,6,1.4
Drew Albright,99,Steel City Show Stoppers,Pittsburgh,Tier 1,5,3,4,7,1.5,1.4
Caleb Cox,14,A-Town Tropics,Massachusetts 2,Tier 2,6,2,5,7,0,1.17
Matt Hummell,18,Buffalo 716ers,Buffalo,Tier 1,5,2,5,7,0,1.4
RC Double,2,Butler Bantams,Pittsburgh 2,Tier 2,6,1,6,7,3,1.17
Tom Lepage,7,South Coast Chargers,New England 2,Tier 2,5,1,6,7,0,1.4
Brandon Kwasny,0,Long Island Sound,North Jersey 2,Tier 2,6,6,0,6,0,1
Korey Wilson,72,Leominster Stars,Massachusetts,Tier 1,6,5,1,6,0,1
Zach Lampell,81,Arlington Plague,Washington DC,Tier 2,5,4,2,6,1.5,1.2
Jake Berube,17,Maryland Sparks,Washington DC,Tier 2,4,4,2,6,1.5,1.5
Kevin Roby,8,Maryland Sparks,Washington DC,Tier 2,5,4,2,6,1.5,1.2
Brandon Garneau,94,South Bay Bruins,California 2,Tier 2,2,4,2,6,0,3
Tyler Grant,91,South Jersey Space Pirates,South Jersey 2,Tier 2,6,4,2,6,1.5,1
Anthony Migliozzi,9,Steel City Show Stoppers,Pittsburgh,Tier 1,5,4,2,6,0,1.2
Dylan  Irizarry,17,Grim City Reapers,Buffalo 2,Tier 2,5,3,3,6,0,1.2
Doug Sanders,13,Lakeland Caribou,New Jersey,Tier 1,5,3,3,6,0,1.2
AJ Mills,54,Leominster Stars,Massachusetts,Tier 1,6,3,3,6,0,1
Sam Bowles,42,Maryland Sparks,Washington DC,Tier 2,6,3,3,6,1.5,1
Peyton Sylvia,2,Mass Minutemen,New England 2,Tier 2,5,3,3,6,0,1.2
Aidan Klen,13,Southside Stingrays,Chicago 2,Tier 2,4,3,3,6,0,1.5
Avery Clyatt,77,A-Town Tropics,Massachusetts 2,Tier 2,6,2,4,6,3,1
Frank McNulty Jr,22,Boston Rattlers,Boston 3,Tier 3,3,2,4,6,0,2
Michael Marchese,88,Lakeland Caribou,New Jersey,Tier 1,4,2,4,6,0,1.5
Mike Malloy,97,Lakeland Caribou,New Jersey,Tier 1,5,2,4,6,1.5,1.2
Brady Cormier,11,Mill City Warriors,Massachusetts 2,Tier 2,8,2,4,6,0,0.75
Jeremy  Holden,2,Mill City Warriors,Massachusetts 2,Tier 2,8,2,4,6,0,0.75
Tyler  Caba,19,Phoenixville Purge,Philadelphia 2,Tier 2,4,2,4,6,0,1.5
Mike Paiva,10,South Coast Chargers,New England 2,Tier 2,5,2,4,6,0,1.2
Ryan McCormick,18,South Jersey Nights Watch,New Jersey,Tier 1,5,2,4,6,0,1.2
Jimmy Privito,17,Bellmawr Hawks,New Jersey,Tier 1,6,1,5,6,0,1
Colin Wilbur,99,Leominster Stars,Massachusetts,Tier 1,6,1,5,6,0,1
Aaron Huffnagle,81,Marlton Dawgz,New Jersey,Tier 1,5,1,5,6,1.5,1.2
Josh Pacheco,18,South Coast Chargers,New England 2,Tier 2,5,1,5,6,0,1.2
Travis  Veit,72,South Jersey Space Pirates,South Jersey 2,Tier 2,6,1,5,6,1.5,1
Ben McAllister,33,Butler Bantams,Pittsburgh 2,Tier 2,6,0,6,6,1.5,1
Adam Nero,17,Northside Militia,Pittsburgh 2,Tier 2,6,0,6,6,0,1
Nick Beard,99,Delco Devils,Philadelphia 3,Tier 3,4,5,0,5,1.5,1.25
Vinny  Lawson,20,Jersey Dinos,Philadelphia 3,Tier 3,4,5,0,5,1.5,1.25
Timmy Grable,5,Boston Massacre,Boston 3,Tier 3,3,4,1,5,0,1.67
Matt Daley,67,Buffalo Wear-It,Buffalo 2,Tier 2,4,4,1,5,3,1.25
Cody Blum,97,Butler Bantams,Pittsburgh 2,Tier 2,6,4,1,5,1.5,0.83
Ricky  Neurohr,88,Butler Bantams,Pittsburgh 2,Tier 2,5,4,1,5,0,1
Noah Hyde,5,McKeesport Magic,Pittsburgh 2,Tier 2,4,4,1,5,1.5,1.25
Blake Fiandaca,88,Orlando Mutiny,Florida 2,Tier 2,2,4,1,5,0,2.5
Geno Sambucci,25,Philadelphia Berserkers,Philadelphia 3,Tier 3,2,4,1,5,0,2.5
Jake Feliciano,12,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,3,2,5,0,0.63
Jake Zingkraft,7,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,3,2,5,0,0.63
Justin Garlinsky,36,Chicago Raiders,Chicago 2,Tier 2,3,3,2,5,0,1.67
Sam Loster,96,Grim City Reapers,Buffalo 2,Tier 2,4,3,2,5,0,1.25
Cory Fredrickson,81,Leominster Stars,Massachusetts,Tier 1,5,3,2,5,0,1
Lucas Rego,3,Mass Vengeance,Massachusetts 2,Tier 2,6,3,2,5,0,0.83
Ryan Morrow,33,South Jersey Sloths,South Jersey 2,Tier 2,3,3,2,5,0,1.67
Donnie Williams,12,Washington DC Haze,Washington DC,Tier 2,3,3,2,5,0,1.67
Connor Mahony,2,A-Town Tropics,Massachusetts 2,Tier 2,6,2,3,5,4.5,0.83
Kyle Alleva,2,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,2,3,5,0,0.63
Eric Zimmerman,77,Bellmawr Hawks,New Jersey,Tier 1,6,2,3,5,3,0.83
Aaron Broun,21,Bethesda Blazers,Maryland 3,Tier 3,2,2,3,5,0,2.5
Stephen Schombs,53,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,2,3,5,0,1
Christian  Karbler,24,McKeesport Magic,Pittsburgh 2,Tier 2,3,2,3,5,0,1.67
Mike Martin,19,Niagara Daredevils,Buffalo,Tier 1,4,2,3,5,1.5,1.25
Mike McKenna,10,Orlando Mutiny,Florida 2,Tier 2,2,2,3,5,0,2.5
Brandon Williams,8,South Bay Bruins,California 2,Tier 2,2,2,3,5,0,2.5
Shaun Dowdy,11,South Jersey Nights Watch,New Jersey,Tier 1,5,2,3,5,3,1
Jack Kendall,87,Tri-Town Terriers,Massachusetts,Tier 1,5,2,3,5,1.5,1
Alec Myers,21,Bellmawr Hawks,New Jersey,Tier 1,6,1,4,5,3,0.83
Cole Hilliard,97,Marlton Dawgz,New Jersey,Tier 1,6,1,4,5,0,0.83
Matthew Vieira,97,Mass Minutemen,New England 2,Tier 2,4,1,4,5,0,1.25
Nate Batallas,10,Oakridge Owls,Massachusetts,Tier 1,5,1,4,5,0,1
Nick Cassetta,13,Raleigh Squall,Carolina 3,Tier 3,3,1,4,5,1.5,1.67
Scott Young,91,South Jersey Sloths,South Jersey 2,Tier 2,3,1,4,5,0,1.67
Tyler Eahart,18,South Jersey Space Pirates,South Jersey 2,Tier 2,6,1,4,5,0,0.83
Jesse Hackett,89,Buffalo 716ers,Buffalo,Tier 1,5,0,5,5,0,1
Sam Eisenberg,24,Long Island Sound,North Jersey 2,Tier 2,6,0,5,5,0,0.83
Michael Andes,8,Marlton Dawgz,New Jersey,Tier 1,6,0,5,5,4.5,0.83
Ben Tolman,4,Oakridge Owls,Massachusetts,Tier 1,5,0,5,5,0,1
Justin Pinkerton,8,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,2,0,5,5,0,2.5
Lewis Evans,6,Arlington Plague,Washington DC,Tier 2,5,4,0,4,7.5,0.8
Jake Archambault,94,Niagara Daredevils,Buffalo,Tier 1,4,4,0,4,0,1
Jim Kiesel,12,Penn Hills Imperium,Pittsburgh,Tier 1,5,4,0,4,1.5,0.8
Carter Hritz,4,Phoenixville Jokers,Philadelphia 3,Tier 3,2,4,0,4,1.5,2
Eddie Urban,9,Southside Rats,Chicago 2,Tier 2,7,4,0,4,0,0.57
RJ Gibbs,86,Buffalo Wear-It,Buffalo 2,Tier 2,5,3,1,4,0,0.8
Dillon Hepler,7,Butler Bantams,Pittsburgh 2,Tier 2,6,3,1,4,0,0.67
Richie Clayter,69,Mass Vengeance,Massachusetts 2,Tier 2,6,3,1,4,0,0.67
David Gray,12,Philly Heat,Philadelphia 2,Tier 2,4,3,1,4,0,1
Brian Prendergast,77,Phoenixville Purge,Philadelphia 2,Tier 2,4,3,1,4,0,1
Joe Marshall,27,Queen City Crowns,Carolina 3,Tier 3,3,3,1,4,0,1.33
Roger Roulette,47,Red River Rougarou,Texas 3,Tier 3,2,3,1,4,0,2
Liam Higgins,91,South Jersey Nights Watch,New Jersey,Tier 1,5,3,1,4,0,0.8
Matthew Wilhite,71,A-Town Tropics,Massachusetts 2,Tier 2,6,2,2,4,0,0.67
Tommy Smith,16,Boston Rattlers,Boston 3,Tier 3,3,2,2,4,0,1.33
Mike O'Neil,55,Boston Rattlers,Boston 3,Tier 3,3,2,2,4,0,1.33
Troy Double,96,Butler Bantams,Pittsburgh 2,Tier 2,6,2,2,4,4.5,0.67
Riley Drew,30,Central Mass Sea Bass,Massachusetts,Tier 1,5,2,2,4,0,0.8
Jimmy avella,25,Delco Devils,Philadelphia 3,Tier 3,4,2,2,4,0,1
Isaac Murray,18,Grim City Reapers,Buffalo 2,Tier 2,4,2,2,4,1.5,1
Ryan Lauer,90,Grim City Reapers,Buffalo 2,Tier 2,5,2,2,4,1.5,0.8
Corey Migliaccio,16,Jersey Dinos,Philadelphia 3,Tier 3,4,2,2,4,1.5,1
Luke Malloy,19,Lakeland Caribou,New Jersey,Tier 1,5,2,2,4,3,0.8
Cam Cordio,91,Leominster Stars,Massachusetts,Tier 1,6,2,2,4,0,0.67
Brandon Jones,13,Leominster Stars,Massachusetts,Tier 1,5,2,2,4,0,0.8
Tyler Lupo,21,Long Island Sound,North Jersey 2,Tier 2,5,2,2,4,0,0.8
Kevin Altmann,10,Maryland Sparks,Washington DC,Tier 2,6,2,2,4,1.5,0.67
Robert Purporo,19,Maryland Sparks,Washington DC,Tier 2,5,2,2,4,0,0.8
Alex Vieira,91,Mass Minutemen,New England 2,Tier 2,5,2,2,4,0,0.8
Keith Gagnon,10,Mill City Warriors,Massachusetts 2,Tier 2,8,2,2,4,0,0.5
Nick McNally,7,Mill City Warriors,Massachusetts 2,Tier 2,6,2,2,4,3,0.67
Cody Swift,73,Oakridge Owls,Massachusetts,Tier 1,5,2,2,4,0,0.8
John Carberry,3,Phoenixville Purge,Philadelphia 2,Tier 2,4,2,2,4,0,1
Josh Lodatto,21,Red River Rougarou,Texas 3,Tier 3,2,2,2,4,0,2
Dillon Gavazzoni,11,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,2,2,2,4,0,2
Cory Schelest,18,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,2,2,2,4,0,2
Steve  Osherow,12,South Jersey Majestic,South Jersey 2,Tier 2,4,2,2,4,0,1
Tyler Maher,27,South Jersey Space Pirates,South Jersey 2,Tier 2,6,2,2,4,1.5,0.67
Latham Conger,1,Southside Rats,Chicago 2,Tier 2,5,2,2,4,0,0.8
Dan Reed,82,Southside Rats,Chicago 2,Tier 2,8,2,2,4,0,0.5
Jimmy King,72,Southside Stingrays,Chicago 2,Tier 2,4,2,2,4,0,1
Mark Farenga,98,Southside Stingrays,Chicago 2,Tier 2,4,2,2,4,0,1
Mathew Garry,22,Tampa Bay Thunder,Florida 2,Tier 2,2,2,2,4,0,2
Pat Luckenbach,27,Washington DC Haze,Washington DC,Tier 2,3,2,2,4,0,1.33
Adam Shiring,56,Arlington Plague,Washington DC,Tier 2,6,1,3,4,0,0.67
Mike Mcgrath,55,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,1,3,4,4.5,0.5
Billy Smith,33,Boston Massacre,Boston 3,Tier 3,2,1,3,4,0,2
Shawn Miville,27,Boston Rattlers,Boston 3,Tier 3,3,1,3,4,0,1.33
Ethan Parsons,20,Grim City Reapers,Buffalo 2,Tier 2,4,1,3,4,0,1
Jeremey Leeds,89,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,1,3,4,0,0.8
Steven Bowman,20,Maple Shade Chiefs,South Jersey 2,Tier 2,9,1,3,4,0,0.44
TJ Dunn,7,McKeesport Magic,Pittsburgh 2,Tier 2,2,1,3,4,0,2
Trevor McCallum,96,Northside Militia,Pittsburgh 2,Tier 2,6,1,3,4,1.5,0.67
Nevin Lawler,17,Oakridge Owls,Massachusetts,Tier 1,5,1,3,4,0,0.8
Tyler Southern,91,Raleigh Squall,Carolina 3,Tier 3,3,1,3,4,0,1.33
Chris Casto,96,South Bay Bruins,California 2,Tier 2,2,1,3,4,1.5,2
Liam Paz,86,Southside Stingrays,Chicago 2,Tier 2,4,1,3,4,0,1
Tanner Foley,88,Steel City Revenge,Pittsburgh 2,Tier 2,4,1,3,4,0,1
Andrew Demers,15,Tri-Town Terriers,Massachusetts,Tier 1,5,1,3,4,0,0.8
Zach Mills,91,Washington DC Haze,Washington DC,Tier 2,3,1,3,4,0,1.33
Garret Kulczyk,3,Grim City Reapers,Buffalo 2,Tier 2,4,0,4,4,3,1
Bryan  Janeczko,5,Mill City Warriors,Massachusetts 2,Tier 2,7,0,4,4,0,0.57
CJ Zaharoolis,12,Mill City Warriors,Massachusetts 2,Tier 2,8,0,4,4,1.5,0.5
Tristan Hofstrom,8,Bellmawr Hawks,New Jersey,Tier 1,5,3,0,3,6,0.6
Andrew Walsh,72,Boston Blackhawks,Massachusetts,Tier 1,3,3,0,3,0,1
Shawn Whalen,21,Chicago Snipers,Chicago 2,Tier 2,5,3,0,3,0,0.6
Kenny  Keene Jr,17,Delco Demons,Philadelphia 2,Tier 2,2,3,0,3,0,1.5
Nick Phillips,45,Penn Hills Imperium,Pittsburgh,Tier 1,5,3,0,3,0,0.6
Mike Silva,11,Southcoast Blue Devils,New England 2,Tier 2,3,3,0,3,0,1
Eric Walker,11,Twin City Classics,Massachusetts,Tier 1,3,3,0,3,0,1
Nick Ellison,13,A-Town Tropics,Massachusetts 2,Tier 2,6,2,1,3,0,0.5
Brendan  Dixon,10,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,2,1,3,0,0.38
Devin Swisher,86,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,2,1,3,0,0.38
Mike Brandimarto,66,Austin Arsenal,Texas 3,Tier 3,2,2,1,3,0,1.5
John Gramlich,9,Battletown Gladiators,Washington DC,Tier 2,3,2,1,3,0,1
Dan Geatens,22,Bellmawr Hawks,New Jersey,Tier 1,5,2,1,3,0,0.6
Erik  Wachal,98,Belmont Heights Kings,Chicago 2,Tier 2,1,2,1,3,0,3
Mehul Bhatnagar,75,Bethesda Blazers,Maryland 3,Tier 3,2,2,1,3,0,1.5
Jake Schiffman,13,Buffalo Wear-It,Buffalo 2,Tier 2,4,2,1,3,0,0.75
Andrew Hildreth,36,Central Mass Sea Bass,Massachusetts,Tier 1,3,2,1,3,0,1
Ricky Morang,86,Central Mass Sea Bass,Massachusetts,Tier 1,5,2,1,3,0,0.6
Chris Sheets,51,Chicago Raiders,Chicago 2,Tier 2,2,2,1,3,0,1.5
Frankie Klein,3,Chicago Snipers,Chicago 2,Tier 2,5,2,1,3,0,0.6
Anthony Sanrocco,26,Evesham Tortugas,New Jersey,Tier 1,2,2,1,3,0,1.5
Frank Palladino,19,Grim City Reapers,Buffalo 2,Tier 2,4,2,1,3,0,0.75
Steven Bancroft,84,Jersey Dinos,Philadelphia 3,Tier 3,4,2,1,3,5,0.75
Frank Pyzik,18,Jersey Shore Sharks,Philadelphia 3,Tier 3,1,2,1,3,0,3
Brandon Burger,98,Long Island Ball Hockey Team,North Jersey 2,Tier 2,4,2,1,3,0,0.75
Mike Minella,90,Long Island Sound,North Jersey 2,Tier 2,6,2,1,3,0,0.5
Matt Reily,44,Maple Shade Leafs,Philadelphia 3,Tier 3,2,2,1,3,0,1.5
Dan Poirer,11,Mass Vengeance,Massachusetts 2,Tier 2,7,2,1,3,0,0.43
Blake Clatterbuck,21,Midwestern Mastodons,Indiana 3,Tier 3,2,2,1,3,0,1.5
Shane McNally,13,Monroe Storm,South Jersey 2,Tier 2,3,2,1,3,0,1
Ryan Nagy,3,Niagara Daredevils,Buffalo,Tier 1,4,2,1,3,0,0.75
Eric Hildebrand,17,North Jersey Hired Guns,North Jersey 2,Tier 2,3,2,1,3,0,1
Brett Brenner,48,North Jersey Hired Guns,North Jersey 2,Tier 2,3,2,1,3,0,1
Ben Smeresky,86,Northside Militia,Pittsburgh 2,Tier 2,6,2,1,3,0,0.5
Matt Wheeler,3,Oakridge Owls,Massachusetts,Tier 1,5,2,1,3,0,0.6
Jeremy Smith Jr.,7,Phoenixville Jokers,Philadelphia 3,Tier 3,2,2,1,3,1.5,1.5
Nick Christopoulus,10,Raleigh Squall,Carolina 3,Tier 3,3,2,1,3,0,1
Patrick Barbato,24,Raleigh Squall,Carolina 3,Tier 3,3,2,1,3,0,1
Sam Wood,26,Seattle Cold Snacks,Pacific Northwest 3,Tier 3,2,2,1,3,0,1.5
Drake Almeida,93,South Coast Chargers,New England 2,Tier 2,3,2,1,3,1.5,1
Ryan Beswick,29,South Jersey Jays,South Jersey 2,Tier 2,4,2,1,3,0,0.75
Brian Jackson Jr.,91,South Jersey Jays,South Jersey 2,Tier 2,4,2,1,3,0,0.75
Charlie Novelli,87,South Jersey Sloths,South Jersey 2,Tier 2,3,2,1,3,0,1
Keith Allen,3,South Jersey Sloths,South Jersey 2,Tier 2,3,2,1,3,1.5,1
Kevin Cuocco,93,South Philly Moonshiners,Philadelphia 3,Tier 3,2,2,1,3,0,1.5
Brendan Blight,21,Atlantic City Chimney Fish,South Jersey 2,Tier 2,8,1,2,3,1.5,0.38
Sean Miller,39,Battletown Gladiators,Washington DC,Tier 2,3,1,2,3,0,1
Charlie Jones,19,Bay Area Bashers,California 2,Tier 2,2,1,2,3,0,1.5
Jon Quick,34,Bay Area Bashers,California 2,Tier 2,2,1,2,3,0,1.5
Nick Doherty,93,Boston Rattlers,Boston 3,Tier 3,3,1,2,3,0,1
Myles Sylverne,24,Chicago Raiders,Chicago 2,Tier 2,2,1,2,3,0,1.5
Raymond  Hagen,66,Chicago Snipers,Chicago 2,Tier 2,5,1,2,3,0,0.6
Carson Froese,23,Colorado Massive,Texas 3,Tier 3,2,1,2,3,0,1.5
Ryan Weiser,11,Columbus Counts,Indiana 3,Tier 3,2,1,2,3,0,1.5
Joe Silverio,11,Delco Demons,Philadelphia 2,Tier 2,2,1,2,3,0,1.5
Dom Anastasia,14,Delco Demons,Philadelphia 2,Tier 2,2,1,2,3,1.5,1.5
Matt Cole,31,Delco Demons,Philadelphia 2,Tier 2,2,1,2,3,0,1.5
Bubba  Burket,94,Grim City Reapers,Buffalo 2,Tier 2,4,1,2,3,3,0.75
Devyn Tankesley,99,Harrisburg Hustle,Philadelphia 2,Tier 2,1,1,2,3,1.5,3
Michael Bancroft,17,Jersey Dinos,Philadelphia 3,Tier 3,4,1,2,3,1.5,0.75
Tom Palumbo,11,Lakeland Caribou,New Jersey,Tier 1,5,1,2,3,1.5,0.6
Ryan LaSerre,91,Lakeland Caribou,New Jersey,Tier 1,5,1,2,3,0,0.6
Matt Gaba,66,Long Island Sound,North Jersey 2,Tier 2,6,1,2,3,0,0.5
Andrew Chaves,21,Malden Maulers,Massachusetts 2,Tier 2,3,1,2,3,0,1
Dan Redner,88,Maple Shade Chiefs,South Jersey 2,Tier 2,8,1,2,3,0,0.38
Tim Ryan,77,Marlton Dawgz,New Jersey,Tier 1,4,1,2,3,4.5,0.75
Mike Carter,11,Maryland Sparks,Washington DC,Tier 2,5,1,2,3,0,0.6
Al Lynch,71,Mass Minutemen,New England 2,Tier 2,3,1,2,3,0,1
Chet Fors,88,Mass Vengeance,Massachusetts 2,Tier 2,7,1,2,3,1.5,0.43
CJ Evans,14,McKeesport Magic,Pittsburgh 2,Tier 2,4,1,2,3,0,0.75
Josh Carney,24,Midwestern Mastodons,Indiana 3,Tier 3,2,1,2,3,0,1.5
Aaron Scarelli,19,Mill City Warriors,Massachusetts 2,Tier 2,7,1,2,3,4.5,0.43
Brandon Le,25,Mill City Warriors,Massachusetts 2,Tier 2,6,1,2,3,0,0.5
Tyler Geatens,23,Monroe Storm,South Jersey 2,Tier 2,3,1,2,3,1.5,1
Wade Stafford,5,Niagara Daredevils,Buffalo,Tier 1,4,1,2,3,0,0.75
Michael Formica,9,Niagara Daredevils,Buffalo,Tier 1,4,1,2,3,0,0.75
Jared Saffer,20,Northside Militia,Pittsburgh 2,Tier 2,6,1,2,3,0,0.5
Mike DeFazio,9,Oakridge Owls,Massachusetts,Tier 1,4,1,2,3,0,0.75
Colin McColl,88,Oakridge Owls,Massachusetts,Tier 1,5,1,2,3,0,0.6
Dane Dowiak,34,Battalion,Pittsburgh,Tier 1,2,1,2,3,1.5,1.5
Connor McStravick,26,Philly Heat,Philadelphia 2,Tier 2,4,1,2,3,3,0.75
Jason Rejniak,7,Philly Heat,Philadelphia 2,Tier 2,4,1,2,3,0,0.75
Nathan Hans,14,Queen City Crowns,Carolina 3,Tier 3,3,1,2,3,0,1
Colby Stewart,88,Red River Rougarou,Texas 3,Tier 3,2,1,2,3,0,1.5
Chris Thorp,19,Savage Ogopogos,Maryland 3,Tier 3,1,1,2,3,0,3
Evan  Barbosa,91,South Coast Chargers,New England 2,Tier 2,5,1,2,3,0,0.6
John Kennedy,22,South Jersey Majestic,South Jersey 2,Tier 2,4,1,2,3,0,0.75
Ryan Pavlik,21,South Jersey Sloths,South Jersey 2,Tier 2,3,1,2,3,0,1
Carter Shourds,1,South Jersey Space Pirates,South Jersey 2,Tier 2,6,1,2,3,0,0.5
Roy Camara,4,Southcoast Blue Devils,New England 2,Tier 2,3,1,2,3,0,1
Josh Cramer,13,Southside Rats,Chicago 2,Tier 2,5,1,2,3,0,0.6
Lou Mangini,3,Southside Rats,Chicago 2,Tier 2,6,1,2,3,0,0.5
Nic Moustis,88,Southside Stingrays,Chicago 2,Tier 2,4,1,2,3,0,0.75
Rob Marciano,23,Southside Stingrays,Chicago 2,Tier 2,4,1,2,3,0,0.75
Bryan Pyznarski,10,Southside Stingrays,Chicago 2,Tier 2,4,1,2,3,0,0.75
Vince Pacheco,72,Steel City Revenge,Pittsburgh 2,Tier 2,3,1,2,3,1.5,1
Trevor Donoghue,24,Austin Arsenal,Texas 3,Tier 3,2,0,3,3,0,1.5
Forrest Penninger,12,Battletown Gladiators,Washington DC,Tier 2,3,0,3,3,0,1
Rob Basile,25,Bellmawr Hawks,New Jersey,Tier 1,6,0,3,3,4.5,0.5
Josh Jaszcz,13,Buffalo 716ers,Buffalo,Tier 1,5,0,3,3,0,0.6
Nino Dasaro,14,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,3,3,0,0.75
Tom Ristich,29,Buffalo Wear-It,Buffalo 2,Tier 2,4,0,3,3,0,0.75
Adrian Gajor,2,Central Mass Sea Bass,Massachusetts,Tier 1,4,0,3,3,1.5,0.75
Jon Bendorf,23,Evesham Tortugas,New Jersey,Tier 1,2,0,3,3,0,1.5
JD Dutney,16,Leominster Stars,Massachusetts,Tier 1,5,0,3,3,1.5,0.6
John Cusumano,12,Long Island Ball Hockey Team,North Jersey 2,Tier 2,5,0,3,3,0,0.6
Sean Hellmich,23,Long Island Sound,North Jersey 2,Tier 2,6,0,3,3,0,0.5
Calder Lee,7,Maryland Sparks,Washington DC,Tier 2,4,0,3,3,0,0.75
Kevin Spear,22,Monroe Storm,South Jersey 2,Tier 2,3,0,3,3,0,1
Troy Minor,89,Niagara Daredevils,Buffalo,Tier 1,4,0,3,3,0,0.75
Anquan Smith,16,Penn Hills Imperium,Pittsburgh,Tier 1,3,0,3,3,4.5,1
Jimmy Crouthamel,13,Phoenixville Jokers,Philadelphia 3,Tier 3,2,0,3,3,0,1.5
Larry Boone,15,Phoenixville Purge,Philadelphia 2,Tier 2,4,0,3,3,7.5,0.75
Corey Carr,69,Phoenixville Purge,Philadelphia 2,Tier 2,4,0,3,3,1.5,0.75
